,name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,MSE raw,RMSE raw,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval,table_category,experiment_seria,benchmark_path
0,random_cube,-0.0081004731080225,0.0922530771406154,233323776.0,0.0,678350440.0,0.0,,,,,,,2.4022317808986946,1.5499134752942485,2.4022317808986946,1.5499134752942485,0.5010367400755806,0.0,0.5078482969332452,0.0,0.4048611111111111,0.0,4231.096860949452,0.0,-0.0061323763177663,0.2024630453226046,-65.18959802807787,0.0,-65.16928819857432,0.0,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
1,mati-sim 100k_my_params_cube,0.6236899328130977,0.0,321111796.0,0.0,563948923.0,0.0,,,,,,,0.8630840622204121,0.9290231763634382,0.8630840622204121,0.9290231763634382,0.5,0.0,0.5078482969332452,0.0,0.6205324074074074,0.0,10.040459213501649,0.0015319235938931,0.8159055887735709,0.0,-4.661166639353367,3.1489062542707736e-06,-10.816852399374062,3.1043743919066087e-27,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
2,mati-sim 100mln_my_params_cube,0.9581515345581524,0.0,56591448.0,0.0,832589520.0,1.384124316401971e-165,,,,,,,0.356303282549143,0.5969114528547287,0.356303282549143,0.5969114528547287,0.5027927860117155,0.0,0.5078482969332452,0.0,0.1128703703703703,3.739789233062773e-240,1.736626868746589,0.1875702870660445,0.9196144197967944,0.0,-3.600934697123939,0.0003172527486495,-12.6952493437083,7.312963972099213e-37,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
3,mati-sim 10k_my_params_cube,0.3044066491770589,0.0,123341652.0,0.0,139691047.0,0.0,,,,,,,3.626450800861088,1.9043242373243816,3.626450800861088,1.9043242373243816,0.5,0.0,0.5078482969332452,0.0,0.923587962962963,0.0,0.0882755048055394,0.766381763339743,0.4921691066410181,0.0,-6.183094647300601,6.313713472707141e-10,-8.421048493931353,3.8444929953292256e-17,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
4,mati-sim 10mln_my_params_cube,0.94464897439622,0.0,117678450.0,0.0,829883434.0,1.6546337285898035e-174,,,,,,,0.3492718433481942,0.5909922532048912,0.3492718433481942,0.5909922532048912,0.5014882699622997,0.0,0.5078482969332452,0.0,0.1183333333333333,5.398396252224551e-264,1.3624379751231492,0.2431186271346882,0.9209731630688976,0.0,-3.5803567803454523,0.0003433134168221,-12.728135822918125,4.809616395708944e-37,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
5,mati-sim 1mln_my_params_cube,0.8902032864776448,0.0,273890906.0,0.0,799994602.0,6.925967491394666e-289,,,,,,,0.4144506654744002,0.6437784288669512,0.4144506654744002,0.6437784288669512,0.5,0.0,0.5078482969332452,0.0,0.174537037037037,0.0,0.4985053122528752,0.4801595160367121,0.9070247697736232,0.0,-4.316209413849225,1.5890767577928117e-05,-14.153200489962613,2.2544995117346998e-45,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
6,mc456_mc_100k_my_params_cube,0.6252646643617338,0.0,380485685.0,7.401397239718267e-242,657559455.0,0.0,,,,,,,0.7573293242689627,0.8702467031072066,0.7573293242689627,0.8702467031072066,0.5,0.0,0.5078482969332452,0.0,0.5057638888888889,0.0,51.6016738991505,6.852949732967686e-13,0.8357390346817372,0.0,-0.7276035274748348,0.4668582923236984,-1.789033476004752,0.0736164282208512,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
7,mc456_mc_100mln_my_params_cube,0.97977634716336,0.0,186179.0,0.92822095868871,932730552.0,0.9153903144610612,,,,,,,0.0865159661792486,0.2941359654636757,0.0865159661792486,0.2941359654636757,0.5078482969332452,0.0,0.5078482969332452,0.0,0.0008333333333333,1.0,0.0020433063737998,0.9639456501256756,0.9801233162701048,0.0,0.0278827514258222,0.977755729862704,0.1977655600808622,0.8432294235280493,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
8,mc456_mc_10k_my_params_cube,0.2905323424177498,0.0,150464900.0,0.0,176853072.0,0.0,,,,,,,3.704045859687209,1.9245897899779083,3.704045859687209,1.9245897899779083,0.5,0.0,0.5078482969332452,0.0,0.898287037037037,0.0,10.599219179651598,0.0011317896958102,0.4794997205271767,0.0,-3.241802725067724,0.0011882120931475,-4.367985392605237,1.256894857291292e-05,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
9,mc456_mc_10mln_my_params_cube,0.955935140515729,0.0,465494549.0,0.6779859209921095,930283681.0,0.439076720054209,,,,,,,0.117309078881952,0.3425041297297771,0.117309078881952,0.3425041297297771,0.5059805673225398,0.0,0.5078482969332452,0.0,0.0180787037037037,1.4568201361850235e-06,0.0356897735392706,0.8501580214166441,0.973062784990378,0.0,0.0844647178414596,0.9326871493496268,0.5146231886043409,0.6068189907022938,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
10,mc456_mc_1mln_my_params_cube,0.9058740087677618,0.0,438218285.0,7.562059136622556e-28,893065649.0,8.571203472981275e-28,,,,,,,0.2344445025924434,0.4841946949238946,0.2344445025924434,0.4841946949238946,0.5,0.0,0.5078482969332452,0.0,0.1031481481481481,1.5293548512847244e-200,1.0444964208808474,0.306780885895042,0.9464588757281428,0.0,-0.3695826892234679,0.711694357050805,-1.5968995479162842,0.1102954149735116,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - my params,CUBES/mc456 my_params 10k-100mln/mc456_mc_100mln_my_params_cube.json
0,random_cube,-0.0061780944125192,0.1991181960611578,118636713.0,0.0,1697216365.0,0.0,,,,,,,0.9070741956611932,0.9524044286232572,0.9070741956611932,0.9524044286232572,0.5010276634437385,0.0,0.5,0.0,0.8004398148148149,0.0,426.5029235941442,1.588349347468162e-94,0.0050798934241797,0.2910539862131608,-5.795788731024607,6.823625670085079e-09,-5.798104014514048,6.753467054491127e-09,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - org params,CUBES/mc456 org_params 10k-100mln/mc456_mc_100mln_original_params_cube.json
1,mati-sim 100k_original_params_cube,0.7134872674235138,0.0,37794741.0,0.0,661377903.5,0.0,,,,,,,0.257643905777623,0.5075863530253971,0.257643905777623,0.5075863530253971,0.5,0.0,0.5,0.0,0.3541203703703703,0.0,95.91523416820743,1.232095862773049e-22,0.8664464215593154,0.0,-9.793710176762216,1.231148294666723e-22,-22.43712534439021,7.369384544774622e-111,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - org params,CUBES/mc456 org_params 10k-100mln/mc456_mc_100mln_original_params_cube.json
2,mati-sim 10k_original_params_cube,0.5068127598286368,0.0,31298748.0,0.0,535962187.0,0.0,,,,,,,0.385041520960853,0.6205171399412373,0.385041520960853,0.6205171399412373,0.5,0.0,0.5,0.0,0.4664583333333333,0.0,105.07377373459772,1.2156243054106654e-24,0.7632075187193222,0.0,-10.250627086932564,1.2146553636048899e-24,-19.244166026992406,3.4931356214751895e-82,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - org params,CUBES/mc456 org_params 10k-100mln/mc456_mc_100mln_original_params_cube.json
3,mati-sim 10mln_original_params_cube,0.9296116507035124,0.0,16590360.0,0.0,850074393.0,5.423832406274477e-129,,,,,,,0.2179304772392498,0.466830244563535,0.2179304772392498,0.466830244563535,0.5,0.0,0.5,0.0,0.1178935185185185,4.941337106636281e-262,87.08980397012888,1.0605649048605137e-20,0.8939929900945187,0.0,-9.332269958162156,1.0597838214017368e-20,-23.348608225147988,7.886574219624888e-120,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - org params,CUBES/mc456 org_params 10k-100mln/mc456_mc_100mln_original_params_cube.json
4,mati-sim 1mln_original_params_cube,0.8538842220136542,0.0,28430616.0,0.0,775823297.0,0.0,,,,,,,0.2333546151018878,0.4830679197606562,0.2333546151018878,0.4830679197606562,0.5,0.0,0.5,0.0,0.2256712962962963,0.0,87.76949923233028,7.523893446986493e-21,0.882404967893295,0.0,-9.368616594529248,7.518280390977163e-21,-22.659304080044777,5.162115893399125e-113,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - org params,CUBES/mc456 org_params 10k-100mln/mc456_mc_100mln_original_params_cube.json
5,mc456_mc_100k_original_params_cube,0.768627411023986,0.0,101600167.0,0.0,712062105.0,0.0,,,,,,,0.1166321615858248,0.3415145115303665,0.1166321615858248,0.3415145115303665,0.5,0.0,0.5,0.0,0.3128472222222221,0.0,0.0466323317616514,0.8290309692238722,0.9362224046539356,0.0,0.2158708266457963,0.8290889475134483,0.8543962938336531,0.392890186713577,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - org params,CUBES/mc456 org_params 10k-100mln/mc456_mc_100mln_original_params_cube.json
6,mc456_mc_100mln_original_params_cube,0.989450758704181,0.0,29811.0,0.2365209857295789,932999200.0,0.9725522407277638,,,,,,,0.0143483101950348,0.1197844321898087,0.0143483101950348,0.1197844321898087,0.5,0.0,0.5,0.0,0.000300925925926,1.0,0.0007200674610233,0.978592138933998,0.9920589986941382,0.0,-0.0268340289318213,0.97859217379607,-0.3011256218515127,0.7633201531383156,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - org params,CUBES/mc456 org_params 10k-100mln/mc456_mc_100mln_original_params_cube.json
7,mc456_mc_10k_original_params_cube,0.5879467646714484,0.0,63973026.0,0.0,582437819.5,0.0,,,,,,,0.349895105341477,0.5915193194997751,0.349895105341477,0.5915193194997751,0.5,0.0,0.5,0.0,0.4310648148148148,0.0,0.0769479616217715,0.7814775179218392,0.806881760043692,0.0,-0.2774693375258414,0.7814204108250641,-0.6313976510308701,0.5277838923273983,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - org params,CUBES/mc456 org_params 10k-100mln/mc456_mc_100mln_original_params_cube.json
8,mc456_mc_10mln_original_params_cube,0.9473615653495512,0.0,145630121.0,0.0001851300328495,884697619.0,1.1438758904483086e-44,,,,,,,0.0270221807500023,0.1643842472684117,0.0270221807500023,0.1643842472684117,0.5,0.0,0.5,0.0,0.0946064814814814,1.039516822464671e-168,0.0044829445856041,0.946617845653176,0.9850482279512536,0.0,0.0668790622271355,0.9466781363854888,0.5468930032329038,0.5844550677803022,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - org params,CUBES/mc456 org_params 10k-100mln/mc456_mc_100mln_original_params_cube.json
9,mc456_mc_1mln_original_params_cube,0.8829125296441503,0.0,127356324.0,2.427800492426876e-88,814609924.5,4.8908212843781134e-270,,,,,,,0.056248639645643,0.2371679566164936,0.056248639645643,0.2371679566164936,0.5,0.0,0.5,0.0,0.195787037037037,0.0,0.0101271075895784,0.919841611331555,0.9687812584380744,0.0,-0.1007079886817664,0.919782503247037,-0.5697925817777938,0.5688213505028377,compare_all_cubes_universal_srodkowe_przekroje_2D,PORÓWNYWANIE OGÓLNE - org params,CUBES/mc456 org_params 10k-100mln/mc456_mc_100mln_original_params_cube.json
0,random_cube,0.0071347131090476,0.1381014505145197,277024491.0,0.0,787591820.0,0.0,,,,,,,5.740204272561453,2.3958723406228164,5.740204272561453,2.3958723406228164,0.5011674355662168,0.0,0.5,0.0,0.39375,0.0,3260.62884466525,0.0,-0.006452189338497,0.1799082700077155,-55.06980798136638,0.0,-55.05829300786783,0.0,compare_all_cubes_universal_srodkowe_przekroje_2D,dodatkowe mati-sim 2-layers,CUBES/mati-sim 2-layers/mati-sim 2-layers 1_000_000_photons_cube.json
1,mati-sim 2-layers 1000_photons_cube,0.025843146666348,7.780813997604017e-08,3489728.0,0.0,141648651.0,0.0,,,,,,,10.423108684057528,3.228483960631914,10.423108684057528,3.228483960631914,0.5,0.0,0.5,0.0,0.8500694444444444,0.0,1544.278791520754,0.0,0.0022848602268,0.6348681177291055,-42.54204748743787,0.0,-42.59063591908342,0.0,compare_all_cubes_universal_srodkowe_przekroje_2D,dodatkowe mati-sim 2-layers,CUBES/mati-sim 2-layers/mati-sim 2-layers 1_000_000_photons_cube.json
